bytes_sent,bytes_recv,duration_ms,packet_count,unique_ports,failed_logins,icmp_ratio,syn_ratio,protocol,hour,label,traffic_id,timestamp
5956.3007163465445,27895.412604349178,167.71263051845327,24,2,1,0.045961104968452515,0.115626632490907,UDP,8,normal,PKT-10000,2025-01-01 00:00:00
7755.370292481971,34340.75570633568,110.5355346234765,33,3,0,0.030927011825159945,0.22949506243037582,HTTPS,9,normal,PKT-10001,2025-01-01 00:05:00
3880.85261502123,18908.461973838454,43.132352122437396,22,4,1,0.005763538390287249,0.30881228842722797,HTTPS,14,normal,PKT-10002,2025-01-01 00:10:00
5099.818723788807,39069.44383005361,150.71607795550997,41,2,1,0.038014789404371835,0.3044832545012217,UDP,15,normal,PKT-10003,2025-01-01 00:15:00
6504.1367379569065,21831.638714573426,163.02983398620435,31,4,1,0.004217244721915564,0.2236691949063091,DNS,16,normal,PKT-10004,2025-01-01 00:20:00
6225.163800801187,33599.82673077239,298.8197910648218,34,3,0,0.027244582693234362,0.3637011654408159,TCP,12,normal,PKT-10005,2025-01-01 00:25:00
7995.94479612199,30753.4644658585,201.3867703321046,34,2,0,0.03430646550013914,0.30559457272577273,HTTPS,13,normal,PKT-10006,2025-01-01 00:30:00
2615.6487600365467,36366.22407795386,221.82900144206184,30,3,0,0.043284351767726006,0.2997561119068616,TCP,13,normal,PKT-10007,2025-01-01 00:35:00
275.80125622747624,163.15085664776137,5883.784961261961,615,64,1,0.8441731339455376,0.7016503522119396,TCP,0,port_scan,PKT-10008,2025-01-01 00:40:00
5975.889181737051,27312.486199678817,183.69745111003618,38,2,1,0.038392868781690556,0.19719386402554495,TCP,18,normal,PKT-10009,2025-01-01 00:45:00
3439.184091263698,25603.579030959336,304.6597285503928,29,2,1,0.01987370418453241,0.28966886112649604,DNS,15,normal,PKT-10010,2025-01-01 00:50:00
1519.4659814207826,32582.379712745984,405.8013949575784,55,1,0,0.01986669421032704,0.10562517602088375,TCP,13,normal,PKT-10011,2025-01-01 00:55:00
94.3557194458571,88.85721616916081,5.082732327361746,1640,2,1,0.6372920013312213,0.9004555823617865,ICMP,0,ddos,PKT-10012,2025-01-01 01:00:00
3241.989211107776,28048.8311185813,269.2980160686823,62,3,0,0.013656660630333679,0.23775311098184565,TCP,8,normal,PKT-10013,2025-01-01 01:05:00
5352.914167382395,47837.854731276384,278.36682729247786,35,4,0,0.014275449584520811,0.36415749290779564,UDP,12,normal,PKT-10014,2025-01-01 01:10:00
4768.205776896797,13066.764408235751,294.04052612070234,34,3,0,0.034337697927072884,0.36663632990951156,HTTPS,11,normal,PKT-10015,2025-01-01 01:15:00
6342.7774729575285,13324.782760092206,62.84112836031028,23,2,1,0.04106870681638375,0.17668832319072691,HTTPS,12,normal,PKT-10016,2025-01-01 01:20:00
4992.317199919893,31046.113503292356,154.92228596599443,17,2,0,0.04312391834917392,0.2517201061553067,TCP,12,normal,PKT-10017,2025-01-01 01:25:00
5651.635465318786,23985.953217492,153.52318491748133,32,1,1,0.04034172235952276,0.1998416116367801,HTTPS,11,normal,PKT-10018,2025-01-01 01:30:00
3289.7586213106542,12922.450660185154,213.55790969546084,31,3,0,0.023131515974136554,0.37312370194948774,UDP,18,normal,PKT-10019,2025-01-01 01:35:00
3024.754683412638,11916.681941297182,272.6714637813844,49,2,0,0.043444261669590145,0.3012764081661885,TCP,11,normal,PKT-10020,2025-01-01 01:40:00
6205.377529067902,35829.713872594766,245.21227030478155,62,4,1,0.022751088029159396,0.2840077709225104,TCP,12,normal,PKT-10021,2025-01-01 01:45:00
5066.318567156297,11245.25353264901,71.29546325840226,28,4,1,0.0443109156694702,0.10461899648817097,HTTPS,13,normal,PKT-10022,2025-01-01 01:50:00
4476.912391627344,19262.598669032745,217.9173942698758,34,2,1,0.026448661845647904,0.11600529470355457,UDP,16,normal,PKT-10023,2025-01-01 01:55:00
5175.028713711093,31048.462608369155,80.63153316216065,49,4,1,0.02417749912153716,0.22237737831440266,TCP,11,normal,PKT-10024,2025-01-01 02:00:00
4346.888790584057,36220.87624222829,236.68473089697352,34,2,1,0.0466056724185586,0.14478143027237092,TCP,15,normal,PKT-10025,2025-01-01 02:05:00
160.8961063165819,163.01565347878554,5599.826775460651,473,100,2,0.6775187632977566,0.836338518449259,ICMP,3,port_scan,PKT-10026,2025-01-01 02:10:00
4359.121030495198,29901.44565656551,279.082549028117,15,4,1,0.026891519949900855,0.3225462740718753,TCP,10,normal,PKT-10027,2025-01-01 02:15:00
5581.554711893023,26874.579179206434,156.27697655772977,24,4,0,0.024126872562274734,0.15282922878051763,TCP,16,normal,PKT-10028,2025-01-01 02:20:00
4306.472311003149,26744.450009819528,200.15994851320698,55,3,0,0.001674178449855024,0.2785647065549949,HTTPS,15,normal,PKT-10029,2025-01-01 02:25:00
8212.471401305691,33167.47099544659,102.40994041267827,21,2,1,0.004774170597960876,0.27164899094423756,TCP,12,normal,PKT-10030,2025-01-01 02:30:00
5766.832721821302,28609.298399243067,67.20896948642496,41,4,0,0.011893201821930988,0.36756646055254505,HTTPS,12,normal,PKT-10031,2025-01-01 02:35:00
4295.896489695914,39959.57902917157,156.9347037710736,41,1,1,0.014011505439856893,0.14772152644825068,HTTPS,17,normal,PKT-10032,2025-01-01 02:40:00
4803.37002396841,20526.97334481382,252.75873714015168,51,4,1,0.009385796122487938,0.18836480613699774,TCP,17,normal,PKT-10033,2025-01-01 02:45:00
4070.50109880708,41209.49020027117,136.47651666409172,30,2,0,0.026245518997745684,0.10705843294698321,TCP,13,normal,PKT-10034,2025-01-01 02:50:00
5395.575806534779,18815.122721609194,114.9152216452226,18,3,0,0.027092441005583348,0.3818575119939034,TCP,19,normal,PKT-10035,2025-01-01 02:55:00
5491.993225571165,39935.67997451049,113.9411233083814,29,1,1,0.02952687042928617,0.15231751534691457,DNS,8,normal,PKT-10036,2025-01-01 03:00:00
3086.470514993117,32230.91427717791,192.85436778394123,34,1,1,0.012760444979954084,0.34020154598782626,TCP,17,normal,PKT-10037,2025-01-01 03:05:00
150.42248437126526,359.5747906711716,4936.014344371435,383,76,1,0.6586476509727559,0.9434712088086529,ICMP,1,port_scan,PKT-10038,2025-01-01 03:10:00
4712.98401995741,17496.925237281204,205.41370064501677,32,1,0,0.0165731940990753,0.30635111797884945,TCP,8,normal,PKT-10039,2025-01-01 03:15:00
4457.344283833743,14976.089872272738,207.84015312795063,31,2,0,0.016091458484829454,0.31880513348564193,UDP,11,normal,PKT-10040,2025-01-01 03:20:00
3464.7537610672025,27456.7476109723,283.7852228859007,37,1,1,0.025957039208057038,0.16706323025177003,UDP,14,normal,PKT-10041,2025-01-01 03:25:00
7615.901789251688,20782.00926978586,244.14870172250335,39,1,0,0.007712181104753563,0.25914253697698975,TCP,15,normal,PKT-10042,2025-01-01 03:30:00
3083.093638520571,22002.30217064495,289.5600544642333,39,2,0,0.04000999715182516,0.3940733875827843,HTTPS,9,normal,PKT-10043,2025-01-01 03:35:00
6257.189851841572,29296.986060675037,184.83555907685772,20,1,1,0.022467697051656604,0.1613097081247591,UDP,14,normal,PKT-10044,2025-01-01 03:40:00
9370.793699010996,36927.74910733722,208.9080343518489,47,3,0,0.02837751432740959,0.1590899367878431,UDP,11,normal,PKT-10045,2025-01-01 03:45:00
3620.821570997583,35794.261419649825,210.80987614944655,43,4,0,0.034520405438947604,0.3349264944768978,DNS,8,normal,PKT-10046,2025-01-01 03:50:00
